Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance
June,45,Musician,80633.22,6463.435,2,4,6,4,"Payday Loan, Credit-Builder Loan, Auto Loan, and Payday Loan",12,3.0,6.27,1.0,Good,295.42,37.842247237439,,No,142.8242213715675,483.9739040738239,Low_spent_Medium_value_payments,299.5453745546086
May,14,Engineer,35626.75,2954.895833333333,580,7,13,1363,"Personal Loan, Personal Loan, and Payday Loan",11,9.0,,6.0,_,1200.59,38.04578073938078,213.0,NM,47.33271657209453,217.0714135267486,Low_spent_Medium_value_payments,311.0854532344904
February,33,Entrepreneur,20483.84,1811.986666666667,7,7,32,8,"Student Loan, Mortgage Loan, Auto Loan, Home Equity Loan, Student Loan, Debt Consolidation Loan, Home Equity Loan, and Student Loan",41,22.0,4.75,6.0,Bad,2469.37,34.78341086764207,107.0,Yes,106.13003229813722,19.93423418689248,High_spent_Large_value_payments,295.134400181637
July,26,Manager,87263.22,7297.935,8,6,16,1,Mortgage Loan,24,14.0,7.82,8.0,Standard,135.88,37.84037381071171,325.0,Yes,67.17035351661022,79.60514774825812,High_spent_Large_value_payments,823.0179987351316
June,31,Architect,10455.875,729.3229166666665,6,5,12,3,"Personal Loan, Payday Loan, and Credit-Builder Loan",11,21.0,8.71,0.0,Good,83.16,33.903298343354095,277.0,No,25.748447656166505,22.880776374633875,High_spent_Small_value_payments,284.30306763586634
May,38,Manager,44732.58,3602.715,6,3,28,3,"Student Loan, Debt Consolidation Loan, and Not Specified",28,15.0,19.48,8.0,Standard,2298.88,30.02304005653549,105.0,Yes,70.86322461146962,152.44323573362308,Low_spent_Small_value_payments,426.9650396549074
March,30,Entrepreneur,32426.78,2999.231666666666,6,5,2,-100,"Payday Loan, and Debt Consolidation Loan",25,14.0,3.41,1.0,Good,1080.61,39.62078365148728,265.0,NM,32.36628525654384,58.55086990847165,High_spent_Medium_value_payments,459.00601150165113
April,45,Accountant,88380.16,7471.013333333332,7,7,19,3,"Student Loan, Home Equity Loan, and Credit-Builder Loan",11,19.0,8.7,5.0,_,124.29,28.666027214332395,307.0,Yes,129.72369861636398,378.6612793304338,!@9#%8,518.7163553865356
July,33,Mechanic,25883.65,2324.9708333333333,4,6,6,5,"Personal Loan, Credit-Builder Loan, Student Loan, Student Loan, and Debt Consolidation Loan",16,,17.33,11.0,Standard,47.03,32.713293000695344,,Yes,82.1887874998951,72.43078978838783,High_spent_Medium_value_payments,327.8775060450504
February,25,Engineer,26463.44,2341.2866666666664,3,4,16,2,"Personal Loan, and Debt Consolidation Loan",9,6.0,13.75,3.0,Standard,931.37,30.924195726287785,287.0,Yes,31.19911471021173,,Low_spent_Medium_value_payments,264.0612139340301
April,32,Developer,28796.82,2378.735,6,6,21,5,"Student Loan, Payday Loan, Payday Loan, Personal Loan, and Student Loan",30,,2.78,8.0,_,2382.35,35.791297972261965,74.0,Yes,82.23521974662458,236.7664299209694,Low_spent_Medium_value_payments,198.87185033240604
August,40,Accountant,19240.3,1869.358333333333,6,3,9,3,"Home Equity Loan, Student Loan, and Student Loan",15,11.0,18.88000000000001,13.0,Standard,738.33,35.964019297073534,238.0,Yes,42.96236226571428,70.14663139455955,High_spent_Small_value_payments,333.8268396730595
July,15,Entrepreneur,31786.98,2944.915,9,6,31,4,"Student Loan, Personal Loan, Home Equity Loan, and Not Specified",27,14.0,23.45,9.0,Standard,2029.21,25.3965161877284,94.0,Yes,105.0869893608941,104.49099511059109,!@9#%8,334.91351552851484
June,29,Developer,74008.84,6229.403333333333,9,7,32,5,"Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Personal Loan, and Mortgage Loan",21,3707.0,1.62,7.0,Bad,1548.55,30.16485386253533,183.0,Yes,170.4932849433328,10000.0,High_spent_Medium_value_payments,622.8751686855837
January,47,Entrepreneur,36346.13,3188.8441666666663,8,6,11,3,"Credit-Builder Loan, Home Equity Loan, and Auto Loan",21,21.0,10.54,4.0,Good,1252.46,24.713212242921013,259.0,No,89.06155404212532,413.561457882854,Low_spent_Small_value_payments,106.26140474168736
February,28,Entrepreneur,80892.92,6767.076666666668,8,1066,23,-100,"Mortgage Loan, Auto Loan, Payday Loan, Auto Loan, Payday Loan, and Auto Loan",9,10.0,14.11,11.0,_,1701.02,34.48830235432312,80.0,Yes,250.5471427140596,230.49770141130705,Low_spent_Medium_value_payments,475.6628225413001
June,35,Accountant,11958.695,903.5579166666664,3,4,8,0,,26,18.0,8.3,7.0,Standard,74.29,41.04880595199285,194.0,Yes,0.0,46.90746092305773,Low_spent_Small_value_payments,333.4483307436089
August,16,Accountant,18867.73,1863.3108333333328,8,10,15,6,"Auto Loan, Auto Loan, Auto Loan, Not Specified, Debt Consolidation Loan, and Credit-Builder Loan",37,20.0,3.0,6.0,Bad,2622.43,26.48612043638026,117.0,Yes,88.65516364834009,189.5367137234294,Low_spent_Small_value_payments,198.13920596156385
May,45,Mechanic,65319.32,5616.276666666668,4,6,9,2,"Home Equity Loan, and Debt Consolidation Loan",4,16.0,15.09,11.0,Standard,1081.77,26.325777960528267,168.0,Yes,65.1735235467646,102.1105560783482,High_spent_Medium_value_payments,644.3435870415539
February,18,Lawyer,57858.3,4868.525,6,6,25,5,"Mortgage Loan, Home Equity Loan, Not Specified, Debt Consolidation Loan, and Mortgage Loan",25,19.0,,7.0,Standard,2298.46,36.33818200804157,114.0,Yes,226.7060075164017,149.97940295332756,Low_spent_Large_value_payments,380.1670895302705
March,24,_______,21697.64,2088.1366666666668,3,7,8,2,"Auto Loan, and Personal Loan",5,13.0,10.65,4.0,Standard,431.39,28.162291218571067,228.0,Yes,36.1425286636439,,Low_spent_Small_value_payments,266.39054953492496
June,15,Scientist,61707.72,,10,10,27,4,"Payday Loan, Personal Loan, Mortgage Loan, and Auto Loan",37,8.0,15.84,15.0,Standard,1626.82,29.44698539137589,184.0,Yes,690.6418058670947,179.7286769046276,High_spent_Medium_value_payments,396.43988955567113
April,36,Media_Manager,49187.06999999999,3823.9225,6,6,25,6,"Auto Loan, Payday Loan, Credit-Builder Loan, Personal Loan, Not Specified, and Auto Loan",26,11.0,16.04,7.0,Standard,1357.26,26.15182082818933,208.0,Yes,198.6083323566276,219.29095868155017,Low_spent_Small_value_payments,254.49295896182224
February,45,Scientist,51307.1,4306.591666666666,8,6,10,2,"Debt Consolidation Loan, and Debt Consolidation Loan",22,,6.949999999999998,,Standard,878.19,25.38166911635364,383.0,Yes,50.44402845137216,182.0013928272323,High_spent_Medium_value_payments,448.2137453880622
January,31,Architect,128494.52,10580.876666666669,4,4,9,2,"Student Loan, and Mortgage Loan",0,,10.33,3.0,Good,722.25,31.270238127456743,337.0,No,176.90460970962792,170.26782116861474,High_spent_Large_value_payments,950.915235788424
March,39,Architect,35846.52,3014.21,4,3,19,3,"Student Loan, Mortgage Loan, and Not Specified",23,19.0,17.92,8.0,Standard,332.22,24.688335504472267,238.0,Yes,84.34603363743744,70.73113726779464,High_spent_Large_value_payments,386.34382909476784
August,25,Manager,14330.89,950.2408333333332,670,7,25,6,"Auto Loan, Student Loan, Mortgage Loan, Not Specified, Auto Loan, and Student Loan",47,20.0,5.34,11.0,_,3127.61,33.73842055141496,17.0,Yes,51.66121905552336,78.12372277306996,Low_spent_Medium_value_payments,245.23914150474
May,21,Developer,58367.36,,5,4,5,2,"Personal Loan, and Personal Loan",5,11.0,11.89,5.0,Standard,1339.95,37.41914907290805,204.0,NM,55.58150319615926,208.6377551943716,Low_spent_Medium_value_payments,507.975408276136
March,26,Teacher,15781.52,,10,5,15,9,"Not Specified, Home Equity Loan, Personal Loan, Not Specified, Not Specified, Auto Loan, Auto Loan, Debt Consolidation Loan, and Not Specified",53,17.0,20.83,11.0,Bad,3779.95,25.787357734322217,151.0,Yes,117.1562033305452,95.41183215342052,Low_spent_Small_value_payments,187.94463118270093
July,42,Accountant,20712.24,2007.02,3,3,30,7,"Student Loan, Mortgage Loan, Home Equity Loan, Home Equity Loan, Personal Loan, Not Specified, and Auto Loan",8,11.0,15.43,6.0,Standard,2375.83,28.364581911670125,,Yes,84.77788281752866,14.321519841054188,High_spent_Large_value_payments,341.6025973414172
April,44,Musician,33702.74,2998.561666666666,7,3,19,2,"Mortgage Loan, and Not Specified",6,5.0,10.7,4.0,Standard,636.96,31.833479520212165,290.0,Yes,37.99322924337024,390.9517739123639,Low_spent_Small_value_payments,160.9111635109325
July,38,_______,133779.72,10995.31,0,5,2,1,Debt Consolidation Loan,7,0.0,8.06,2.0,Good,891.64,31.33192764532071,389.0,NM,92.93776255623916,696.5054315790147,!@9#%8,600.0878058647461
August,30,Engineer,58337.79,4697.4825,8,6,19,2,"Auto Loan, and Home Equity Loan",7,10.0,13.36,8.0,Standard,1322.98,38.66390244463153,216.0,Yes,86.26591449084789,193.05633558284472,Low_spent_Small_value_payments,480.4259999263074
August,29,Engineer,13675.83,1282.6525,4,5,16,0,,29,19.0,7.07,4.0,Standard,568.81,26.475887588943237,268.0,Yes,0.0,38.297066231279175,High_spent_Small_value_payments,349.9681837687208
June,27,Journalist,51796.84,4365.403333333333,6,7,18,0,,8,20.0,7.54,5.0,Standard,387.9,29.397746882128768,387.0,Yes,0.0,581.525798910153,Low_spent_Small_value_payments,145.01453442318038
August,24,Media_Manager,117502.8,,3,5,16,1,Not Specified,12,19.0,11.14,2.0,Standard,953.87,34.55785925610642,236.0,NM,96.48132014804077,231.58352574264984,High_spent_Large_value_payments,905.5251541093096
January,23,Scientist,16937.425,1162.4520833333331,4,5,4,-100,Home Equity Loan,10,-1.0,9.54,1.0,Good,167.57,29.93977602942449,257.0,No,26539.0,104.3998797314654,Low_spent_Medium_value_payments,284.5973860959847
August,20,Media_Manager,38415.69,,5,2,2735,4,"Home Equity Loan, Mortgage Loan, Payday Loan, and Not Specified",6,6.0,2.42,2.0,Good,565.02,31.90354004921976,315.0,No,117.84030312185092,91.55464918732132,High_spent_Medium_value_payments,369.4357976908279
March,18,Journalist,7471.91,597.6591666666667,8,8,18,6,"Personal Loan, Payday Loan, Payday Loan, Home Equity Loan, Mortgage Loan, and Not Specified",33,20.0,18.95,,Standard,1814.13,29.9057927835718,227.0,Yes,18.694162128399395,53.08925771263935,Low_spent_Small_value_payments,277.98249682562795
February,36,Media_Manager,28638.97,,7,6,6,3,"Credit-Builder Loan, Payday Loan, and Mortgage Loan",14,10.0,-0.6599999999999999,0.0,Standard,149.92,36.59322111216647,,No,68.88831043250451,10000.0,Low_spent_Small_value_payments,331.48287105962424
January,33,Scientist,57309.78,4623.815,7,10,31,7,"Personal Loan, Payday Loan, Debt Consolidation Loan, Student Loan, Mortgage Loan, Mortgage Loan, and Not Specified",59,18.0,13.23,11.0,Standard,1556.58,29.65484761908455,219.0,Yes,298.08847658750585,333.68777364140027,Low_spent_Large_value_payments,100.60524977109378
January,37,Media_Manager,82998.24,7186.52,8,7,22,6,"Student Loan, Home Equity Loan, Personal Loan, Personal Loan, Debt Consolidation Loan, and Debt Consolidation Loan",26,22.0,22.0,12.0,_,4879.41,32.665123094166816,152.0,Yes,383.9140141476993,411.4274636655325,Low_spent_Medium_value_payments,203.3105221867681
May,18,Journalist,37006.6,3378.883333333333,7,10,20,9,"Home Equity Loan, Not Specified, Home Equity Loan, Credit-Builder Loan, Auto Loan, Mortgage Loan, Auto Loan, Student Loan, and Payday Loan",41,16.0,19.11,12.0,Bad,3386.25,26.053472081693823,97.0,Yes,245.839955184929,52.17418373499283,High_spent_Large_value_payments,279.8741944134115
August,31,Teacher,8535.405,611.28375,7,5,34,2,"Not Specified, and Not Specified",41,18.0,15.18,10.0,Standard,1525.95,26.906360725022054,240.0,Yes,7.981570049242603,,Low_spent_Small_value_payments,278.7071826810589
July,15,Accountant,18729.06,1546.755,9,8,19,9,"Mortgage Loan, Credit-Builder Loan, Debt Consolidation Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, Personal Loan, Home Equity Loan, and Payday Loan",43,21.0,5.99,15.0,Bad,2585.89,34.275531733371075,189.0,Yes,131.24098433513322,140.09158058261542,!@9#%8,173.34293508225136
January,19,Musician,14840.5,1501.708333333333,9,8,25,9,"Not Specified, Home Equity Loan, Auto Loan, Payday Loan, Student Loan, Personal Loan, Mortgage Loan, Not Specified, and Auto Loan",16,22.0,22.07,6.0,Bad,2685.41,33.020047689163256,140.0,Yes,84.42084263040881,158.0278728875983,Low_spent_Small_value_payments,197.72211781532616
June,19,Mechanic,20232.11,,5,3,6,5,"Mortgage Loan, Payday Loan, Auto Loan, Not Specified, and Mortgage Loan",9,19.0,15.86,7.0,Standard,1104.6,31.953208449214483,110.0,Yes,48.65776554649244,,Low_spent_Medium_value_payments,298.45161249463564
April,36,Teacher,11780.935,,8,5,10,0,,6,12.0,5.8,6.0,Standard,526.12,34.609108882000434,391.0,NM,0.0,85.71868083625586,Low_spent_Medium_value_payments,321.7557774970775
January,48,Scientist,11458.24,1185.8533333333337,4,7,13,3,"Payday Loan, Mortgage Loan, and Personal Loan",21,14.0,4.01,4.0,_,1227.03,38.28461465024424,392.0,No,20.89483924870317,130.37462175820104,Low_spent_Small_value_payments,257.31587232642914
May,16,Doctor,34620.62,2588.0516666666667,3,5,25,2,"Auto Loan, and Debt Consolidation Loan",9,17.0,11.23,9.0,Standard,1690.69,29.74996536487372,187.0,Yes,41.9647026055557,97.58341283322945,Low_spent_Medium_value_payments,399.2570512278816
August,43,Mechanic,38266.44,3282.870000000001,9,8,29,9,"Credit-Builder Loan, Student Loan, Debt Consolidation Loan, Personal Loan, Auto Loan, Home Equity Loan, Home Equity Loan, Student Loan, and Debt Consolidation Loan",54,17.0,8.93,13.0,Bad,2318.76,24.81720611841985,159.0,Yes,258.80769889852365,225.3957536572646,Low_spent_Medium_value_payments,124.08354744421172
August,33,Mechanic,81402.48,6802.54,7,5,34,9,"Personal Loan, Payday Loan, Credit-Builder Loan, Debt Consolidation Loan, Home Equity Loan, Payday Loan, Student Loan, Debt Consolidation Loan, and Not Specified",53,21.0,5.55,8.0,Bad,2438.55,34.63493863037229,192.0,Yes,436.4013434486833,313.9798878100775,!@9#%8,189.8727687412392
July,52,Journalist,47165.44,3782.453333333333,8,4,7,0,,29,16.0,7.76,5.0,Standard,248.98,34.03228119499572,333.0,NM,0.0,103.71556954769206,High_spent_Medium_value_payments,524.5297637856413
January,41,Developer,65588.1,5310.675,7,4,11,3,"Not Specified, Mortgage Loan, and Credit-Builder Loan",22,20.0,8.33,0.0,Good,1292.14,25.600213660755035,368.0,NM,112.06551509640828,113.3101611525554,High_spent_Medium_value_payments,555.6918237510363
May,36,Teacher,50473.8,4144.15,3,7,32,6,"Auto Loan, Mortgage Loan, Debt Consolidation Loan, Debt Consolidation Loan, Student Loan, and Credit-Builder Loan",11,13.0,8.7,15.0,Standard,1316.91,39.6057632571921,,Yes,199.60572150140217,,High_spent_Medium_value_payments,408.80651326453074
February,38,Journalist,39014.5,3456.208333333333,4,7,5,0,,14,13.0,4.54,,Good,1301.66,30.73417689418852,183.0,No,0.0,121.1692172971756,High_spent_Medium_value_payments,474.4516160361578
August,36,Mechanic,24577.48,2055.123333333333,5,5,18,6,"Personal Loan, Credit-Builder Loan, Home Equity Loan, Student Loan, Credit-Builder Loan, and Debt Consolidation Loan",23,12.0,11.91,10.0,_,844.54,28.35981596438953,177.0,Yes,95.53848736976772,232.0719744079664,!@9#%8,167.9018715555992
January,15,Writer,70286.6,5718.216666666667,7,10,25,6,"Not Specified, Personal Loan, Credit-Builder Loan, Payday Loan, Credit-Builder Loan, and Mortgage Loan",18,19.0,8.72,7.0,Bad,1553.07,38.32552415803446,112.0,Yes,205.3424352539566,581.0715283088698,Low_spent_Small_value_payments,75.40770310384039
May,45,Engineer,70556.92,6078.743333333333,7,6,16,6,"Payday Loan, Student Loan, Credit-Builder Loan, Not Specified, Payday Loan, and Not Specified",45,23.0,4.67,11.0,_,1260.11,30.35666731015417,66.0,Yes,232.85165248733315,289.3521695504344,!@9#%8,345.6705112955658
April,32,Architect,119809.72,9939.143333333332,0,2,11,0,,14,4.0,0.2000000000000001,2.0,Good,542.7,32.76941634645901,229.0,No,0.0,217.20455065931,High_spent_Large_value_payments,1016.7097826740236
March,19,Journalist,10172.08,,7,8,19,6,"Mortgage Loan, Payday Loan, Not Specified, Personal Loan, Mortgage Loan, and Debt Consolidation Loan",48,16.0,2.12,8.0,Bad,3539.39,27.302106417082552,166.0,Yes,44.08367948503548,81.25686897734299,Low_spent_Small_value_payments,264.42678487095486
July,20,Manager,42240.87,3296.0725,9,8,22,5,"Payday Loan, Credit-Builder Loan, Home Equity Loan, Student Loan, and Debt Consolidation Loan",22,22.0,19.62,10.0,Bad,3483.9,36.72433320243578,167.0,Yes,95.74849408764148,91.29620176588756,High_spent_Medium_value_payments,392.56255414647103
May,27,Scientist,16974.83,1527.569166666667,3,6,14,5,"Not Specified, Payday Loan, Not Specified, Mortgage Loan, and Debt Consolidation Loan",5,,24.93,8.0,_,1426.88,25.270120491605645,210.0,NM,54.635904118269146,131.00634490840142,Low_spent_Large_value_payments,237.1146676399961
April,48,Architect,137097.8,11356.816666666666,4,7,5,3,"Auto Loan, Student Loan, and Auto Loan",6,8.0,9.76,3.0,_,1045.06,28.02970186297697,347.0,No,213.7418690255677,483.3310506320673,Low_spent_Medium_value_payments,718.6087470090317
August,27,Doctor,62313.54,5120.795,6,2,18,4,"Auto Loan, Payday Loan, Student Loan, and Credit-Builder Loan",30,9.0,12.82,9.0,Standard,817.64,27.682220932239947,126.0,Yes,196.6796423998655,523.7051366189809,Low_spent_Small_value_payments,81.69472098115371
July,29,Accountant,79556.37,,8,5,19,0,,7,18.0,9.88,7.0,Standard,1191.79,30.6505022001378,363.0,Yes,0.0,42.62823348453494,High_spent_Large_value_payments,835.2415165154649
August,44,Journalist,7885.605,554.13375,8,7,23,5,"Debt Consolidation Loan, Payday Loan, Debt Consolidation Loan, Auto Loan, and Payday Loan",46,23.0,1.64,12.0,Bad,1334.09,31.153816972492685,123.0,Yes,30.600628284496374,56.29046543970564,Low_spent_Small_value_payments,258.522281275798
January,27,Lawyer,23454.09,2211.5075,5,5,74,5,"Home Equity Loan, Personal Loan, Debt Consolidation Loan, Credit-Builder Loan, and Auto Loan",21,12.0,12.989999999999998,7.0,Standard,846.41,39.27966192716571,141.0,Yes,73.34809191087513,102.6732757411027,Low_spent_Medium_value_payments,325.1293823480222
April,36,Writer,19012.94,1805.4116666666664,8,6,31,2,"Debt Consolidation Loan, and Auto Loan",14,17.0,15.81,8.0,Standard,2670.43,23.246100012027192,97.0,Yes,25.1602705064398,10000.0,Low_spent_Small_value_payments,203.61332468419317
April,41,Lawyer,7577.175,,5,5,22,6,"Credit-Builder Loan, Auto Loan, Home Equity Loan, Home Equity Loan, Student Loan, and Auto Loan",19,20.0,8.84,11.0,Standard,1355.48,34.53649077374577,200.0,Yes,25.238688396823395,41.368198922703705,Low_spent_Small_value_payments,256.6362376804729
January,36,Lawyer,19054.15,1567.8458333333335,3,3,17,6,"Personal Loan, Credit-Builder Loan, Credit-Builder Loan, Personal Loan, Student Loan, and Not Specified",25,9.0,15.61,6.0,Standard,2097.89,34.032732681532984,142.0,Yes,86.85026831130695,104.13149650734432,!@9#%8,255.8028185146821
August,33,Lawyer,19310.62,1463.0931384422138,9,6,34,5,"Debt Consolidation Loan, Mortgage Loan, Student Loan, Auto Loan, and Payday Loan",47,10.0,12.87,10.0,Standard,1306.08,25.61167290869783,123.0,Yes,238.4902910036012,10000.0,High_spent_Medium_value_payments,283.98976582702164
April,31,Entrepreneur,18793.34,1612.111666666667,0,7,8,2,"Debt Consolidation Loan, and Not Specified",11,6.0,2.89,1.0,Good,863.66,38.990141460195,,No,27.30133708141817,128.46021048477542,Low_spent_Medium_value_payments,285.44961910047306
August,32,Scientist,57309.78,4623.815,7,10,31,7,"Personal Loan, Payday Loan, Debt Consolidation Loan, Student Loan, Mortgage Loan, Mortgage Loan, and Not Specified",59,18.0,13.23,11.0,Standard,1556.58,31.126152569193422,226.0,Yes,298.08847658750585,172.00687810272564,High_spent_Medium_value_payments,242.2861453097684
June,35,Writer,56047.34,4136.1493861928775,3,6,1,4,"Not Specified, Debt Consolidation Loan, Credit-Builder Loan, and Payday Loan",34,8.0,6.27,4.0,Good,990.4,31.071957292943072,252.0,No,402.2887998897225,240.87004989076752,Low_spent_Medium_value_payments,365.564597359965
August,15,Lawyer,72471.32,6097.276666666668,8,10,30,-100,"Auto Loan, Debt Consolidation Loan, Student Loan, Mortgage Loan, Mortgage Loan, Payday Loan, Not Specified, Home Equity Loan, and Personal Loan",27,19.0,9.4,11.0,Bad,4439.31,25.065321240141763,39.0,Yes,394.14465811549593,358.7736636086445,High_spent_Small_value_payments,116.80934494252632
July,39,Accountant,97324.83,7869.4025,3,4,20,6,"Auto Loan, Mortgage Loan, Personal Loan, Credit-Builder Loan, Mortgage Loan, and Mortgage Loan",24,6.0,14.7,5.0,Standard,449.87,26.939716305853747,178.0,Yes,275.6631772892223,143.72180179864253,High_spent_Large_value_payments,607.5552709121353
August,20,Manager,99194.19,8530.1825,3,6,7,2,"Debt Consolidation Loan, and Home Equity Loan",28,13.0,18.75,11.0,_,573.52,34.49320037924459,113.0,Yes,109.21070846951112,514.5329131374147,Low_spent_Medium_value_payments,509.2746283930744
June,41,Lawyer,7577.175,332.43125,5,5,22,6,"Credit-Builder Loan, Auto Loan, Home Equity Loan, Home Equity Loan, Student Loan, and Auto Loan",19,17.0,8.84,11.0,Standard,1355.48,29.92499514693032,202.0,Yes,25.238688396823395,19.982683945091,Low_spent_Small_value_payments,278.0217526580856
April,41,Engineer,15957.41,1039.7841666666666,1691,5,7,3,"Mortgage Loan, Personal Loan, and Student Loan",19,21.0,17.33,4.0,Standard,1269.87,24.76596090634044,126.0,NM,25.048554363131267,61.33743208162476,Low_spent_Small_value_payments,307.5924302219106
March,44,Media_Manager,44134.06,,4,4,9,3,"Personal Loan, Auto Loan, and Student Loan",29,19.0,4.9,1.0,Good,809.59,36.96212017593098,,No,71.91491593248355,,Low_spent_Large_value_payments,379.9098718147554
August,39,Teacher,83418.18,7113.514999999999,0,4,6,1,Personal Loan,17,3.0,11.9,2.0,Good,972.51,35.84877411722797,364.0,No,42518.0,84.13479926934414,High_spent_Large_value_payments,807.6328199352167
April,38,Lawyer,27947.42,2488.9516666666664,7,5,15,2,"Auto Loan, and Not Specified",29,19.0,11.04,4.0,Standard,1472.05,36.67642406456709,388.0,Yes,31.33536159917632,33.04607893863433,High_spent_Large_value_payments,424.513726128856
August,45,Entrepreneur,47400.2,4192.016666666666,8,7,5,0,,28,9.0,11.88,5.0,Standard,465.95,23.51396794928123,329.0,Yes,0.0,166.1489222280293,!@9#%8,533.0527444386373
April,37,Media_Manager,91686.69,7842.5575,3,3,3,2,"Student Loan, and Mortgage Loan",18,0.0,6.69,3.0,_,579.04,29.84014106102183,217.0,No,83.09116325853846,10000.0,Low_spent_Small_value_payments,323.27820621435336
January,33,Developer,13207.76,822.6466666666668,7,5,9,4,"Student Loan, Home Equity Loan, Payday Loan, and Debt Consolidation Loan",16,11.0,15.15,8.0,Standard,780.74,31.44980840773948,229.0,Yes,37.77977991777591,101.72256127341144,!@9#%8,232.7623254754793
August,43,Engineer,59695.36,5119.613333333334,6,8,22,6,"Debt Consolidation Loan, Auto Loan, Credit-Builder Loan, Debt Consolidation Loan, Home Equity Loan, and Not Specified",43,18.0,20.61,14.0,_,4448.24,34.73489834929109,34.0,Yes,274.95957527412776,61.601599054730606,High_spent_Medium_value_payments,425.4001590044751
February,23,Doctor,52860.62,4676.051666666667,6,7,8,3,"Home Equity Loan, Not Specified, and Payday Loan",14,,8.36,2.0,Standard,1453.24,27.64617660069773,201.0,No,121.78588517209243,72.2058786879185,High_spent_Large_value_payments,513.6134028066558
August,39,Manager,20695.58,1698.1459185037506,2,2,3,4,"Home Equity Loan, Personal Loan, Personal Loan, and Not Specified",12,7.0,11.0,2.0,_,1352.84,25.73772150658366,239.0,NM,253.5833673536581,161.59788764882958,Low_spent_Medium_value_payments,265.0676598270955
July,20,_______,26862.64,2409.5533333333333,6,6,9,6,"Credit-Builder Loan, Credit-Builder Loan, Student Loan, Home Equity Loan, Payday Loan, and Mortgage Loan",24,13.0,13.52,8.0,Standard,829.49,35.90525519888346,220.0,Yes,94.4619078855738,75.65211723357056,!@9#%8,320.841308214189
August,55,_______,112095.72,,7,5,5,0,,27,12.0,11.13,8.0,Standard,251.99,22.500148080932718,329.0,Yes,955.7778562552096,983.9703627272736,Low_spent_Medium_value_payments,251.96063727272625
June,28,Writer,39800.12,3047.6766666666667,7,5,12,3,"Personal Loan, Payday Loan, and Auto Loan",17,18.0,18.53,4.0,Standard,660.69,26.02052332447661,218.0,Yes,58.48765733950958,121.04412241217136,High_spent_Medium_value_payments,375.23588691498566
June,43,Mechanic,15762.82,1216.5683333333334,3,5,7,3,"Not Specified, Personal Loan, and Student Loan",27,15.0,10.18,2.0,Standard,537.23,30.986025066476174,366.0,No,19.778090105530392,101.76213531143216,Low_spent_Small_value_payments,290.1166079163708
August,19,Teacher,124085.91,10104.4925,5,4,12,1,Student Loan,7,10.0,6.76,2.0,Good,224.19,26.755937052869506,329.0,No,92.61396572813472,133.0605297088508,High_spent_Large_value_payments,1024.7747545630143
May,39,Entrepreneur,62805.48,5247.79,6,7,30,5,"Auto Loan, Mortgage Loan, Student Loan, Student Loan, and Debt Consolidation Loan",32,22.0,0.85,11.0,_,1584.95,39.536985113667015,239.0,Yes,134.01028824172923,231.68476989887264,High_spent_Small_value_payments,419.0839418593982
August,29,Entrepreneur,85926.78,7351.565,3,7,8,1,Student Loan,28,16.0,9.54,4.0,Standard,542.13,32.631613718445365,378.0,Yes,61.89128696438552,145.58802486937532,!@9#%8,767.6771881662394
April,32,Musician,15361.995,1414.16625,8,6,10,-100,"Credit-Builder Loan, Not Specified, Debt Consolidation Loan, Personal Loan, and Student Loan",11,20.0,9.35,11.0,Standard,440.92,34.62331915104649,122.0,Yes,51.74325540998792,174.27620140136042,Low_spent_Small_value_payments,205.3971681886516
August,22,Media_Manager,34628.06,3041.671666666666,1,3,4,1,Personal Loan,8,3.0,0.5,4.0,Good,1024.5,36.903837640959566,286.0,No,21.688933872660087,22.142126581666997,High_spent_Large_value_payments,500.3361062123397
April,25,Journalist,57700.06,4567.338333333333,5,6,13,0,,18,18.0,11.63,2.0,_,792.37,35.747346935417816,294.0,Yes,0.0,10000.0,High_spent_Medium_value_payments,584.5693918537688
April,28,Lawyer,73995.12,6043.259999999998,4,4,15,4,"Not Specified, Personal Loan, Personal Loan, and Not Specified",30,13.0,18.9,12.0,Standard,1933.79,39.98882460478032,,Yes,190.90715132721945,588.6922712922102,Low_spent_Medium_value_payments,104.72657738057036
May,26,Mechanic,7744.305,,10,8,24,6,"Personal Loan, Personal Loan, Student Loan, Student Loan, Personal Loan, and Auto Loan",29,24.0,27.19,13.0,Bad,4952.14,36.16466637918349,20.0,Yes,25.56238264501495,25.76897007078848,High_spent_Small_value_payments,275.70452228419657
March,41,Lawyer,38842.5,3136.875,5,7,9,4,"Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, and Not Specified",21,11.0,6.33,8.0,Standard,1662.17,30.56496281813213,154.0,Yes,115.04877154671654,152.80360863381955,High_spent_Small_value_payments,305.8351198194639
